fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	min_data_in_leaf	seed	num_leaves	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241007.163722	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	72
20241007.163749	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	73
20241007.163815	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	74
20241007.163842	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	75
20241007.163908	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	76
20241007.163935	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	77
20241007.164002	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	78
20241007.164030	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	79
20241007.164056	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	80
20241007.164122	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	81
20241007.164150	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	82
20241007.164216	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	83
20241007.164244	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	84
20241007.164311	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	85
20241007.164337	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	86
20241007.164404	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	87
20241007.164431	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	88
20241007.164457	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	89
20241007.164525	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	90
20241007.164552	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	91
20241007.164619	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	92
